"ID";"EDU_NAME";"global_id";"YEAR";"AdmArea";"District";"PASSES_OVER_220";"PASSER_UNDER_160";
"9892";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»";"1011905225";"2018-2019";"Северный административный округ";"Войковский район";"14";"32";
"9893";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1315»";"1011905226";"2018-2019";"Северный административный округ";"Головинский район";"40";"69";
"9894";"Государственное бюджетное общеобразовательное учреждение города Москвы «Специальное учебно-воспитательное учреждение № 1»";"1011905227";"2018-2019";"Северный административный округ";"район Коптево";"0";"1";
"9895";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 293 имени А.Т. Твардовского»";"1011905228";"2018-2019";"Северо-Восточный административный округ";"Алексеевский район";"46";"91";
"9896";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1370»";"1011905229";"2018-2019";"Северо-Восточный административный округ";"Алтуфьевский район";"60";"125";
"9897";"Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1955»";"1011905230";"2018-2019";"Северо-Восточный административный округ";"Лосиноостровский район";"45";"73";
"9898";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина»";"1011905231";"2018-2019";"Северо-Восточный административный округ";"район Ростокино";"22";"67";
"9899";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1155»";"1011905232";"2018-2019";"Северо-Западный административный округ";"район Строгино";"5";"22";
"9900";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1302»";"1011905233";"2018-2019";"Северо-Западный административный округ";"район Строгино";"10";"19";
"9901";"Государственное бюджетное общеобразовательное учреждение города Москвы «Немецкая школа № 1212»";"1011905234";"2018-2019";"Северо-Западный административный округ";"район Щукино";"29";"38";
"9902";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2097»";"1011905235";"2018-2019";"Северо-Западный административный округ";"район Южное Тушино";"53";"115";
"9903";"Автономная некоммерческая организация «Православная общеобразовательная школа-пансион «Плесково»";"1011905236";"2018-2019";"Троицкий административный округ";"поселение Михайлово-Ярцевское";"13";"21";
"9904";"Муниципальное автономное общеобразовательное учреждение «Гимназия имени Н.В. Пушкова»";"1011905237";"2018-2019";"Троицкий административный округ";"поселение Троицк";"43";"76";
"9905";"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж малого бизнеса № 4»";"1011905238";"2018-2019";"Центральный административный округ";"район Замоскворечье";"0";"5";
"9906";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2107»";"1011905239";"2018-2019";"Центральный административный округ";"Мещанский район";"68";"132";
"9907";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»";"1011905240";"2018-2019";"Центральный административный округ";"Пресненский район";"35";"100";
"9908";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2030»";"1011905241";"2018-2019";"Центральный административный округ";"Пресненский район";"87";"137";
"9909";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 825»";"1011905242";"2018-2019";"Юго-Восточный административный округ";"район Кузьминки";"22";"47";
